id,title,short_title,repository,program,nci_program,cancer_types,primary_sites,subjects,subject_scope,modalities,n_cases,n_samples,access_tier,has_followup,median_followup_months,has_treatment_response,n_verified_reuse,n_citations_to_primary_publication,reuse_gap_index,is_underexplored,is_showcase,review_status,landing_page_url
cbio-msk-ch-2023,"Cancer Therapy and Clonal Hematopoiesis (MSK, Blood Adv 2023)",msk_ch_2023,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Mixed Cancer Types,other,,pan_cancer,targeted_dna,42714,42714,open,,,False,,14,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=msk_ch_2023
idc-nlst,NLST,nlst,IDC,NCI Imaging Data Commons / The Cancer Imaging Archive,IDC,Lung Cancer; Non-Cancer,Chest,LUNG,single,clinical; radiology,26410,,open,,,,,,,False,False,machine_only,https://portal.imaging.datacommons.cancer.gov/explore/?collection_id=nlst
cbio-msk-met-2021,"MSK MetTropism (MSK, Cell 2021)",msk_met_2021,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Mixed Cancer Types,other,,pan_cancer,copy_number; structural_variant; targeted_dna,25775,25775,open,True,17.4,False,,559,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=msk_met_2021
cbio-msk-chord-2024,"MSK-CHORD (MSK, Nature 2024)",msk_chord_2024,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Mixed Cancer Types,other,,pan_cancer,copy_number; structural_variant; targeted_dna; treatment,24950,25040,open,True,24.6,False,,152,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=msk_chord_2024
cbio-msk-ch-2020,"Cancer Therapy and Clonal Hematopoiesis (MSK, Nat Genet 2020)",msk_ch_2020,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Mixed Cancer Types,other,,pan_cancer,targeted_dna,24146,24146,open,,,False,,646,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=msk_ch_2020
gdc-fm-ad,Foundation Medicine Adult Cancer Clinical Dataset (FM-AD),FM-AD,GDC,FM,FM,"Not Reported; Cystic, Mucinous and Serous Neoplasms; Miscellaneous Tumors; Germ Cell Neoplasms; Complex Mixed and Stromal Neoplasms; Thymic Epithelial Neoplasms; Ductal and Lobular Neoplasms; Adnexal and Skin Appendage Neoplasms",Not Reported; Esophagus; Other endocrine glands and related structures; Stomach; Skin; Unknown; Bladder; Nasopharynx,,pan_cancer,clinical; targeted_dna,18004,,mixed,False,,False,6,726,-2.463,True,True,project_curated,https://portal.gdc.cancer.gov/projects/FM-AD
cbio-msk-impact-2017,"MSK-IMPACT Clinical Sequencing Cohort (MSK, Nat Med 2017)",msk_impact_2017,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Mixed Cancer Types,other,,pan_cancer,copy_number; structural_variant; targeted_dna,10336,10945,open,True,11.0,False,,2781,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=msk_impact_2017
cbio-sarcoma-msk-2022,"Soft Tissue and Bone Sarcoma (MSK, Nat Commun 2022)",sarcoma_msk_2022,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Soft Tissue,tissue,SOFT_TISSUE,single,structural_variant; targeted_dna,7494,7494,open,,,False,,173,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=sarcoma_msk_2022
idc-cbis-ddsm,CBIS-DDSM,cbis_ddsm,IDC,NCI Imaging Data Commons / The Cancer Imaging Archive,IDC,Breast Cancer; Non-Cancer,Breast,BREAST,single,radiology,6671,,open,,,,,,,False,False,machine_only,https://portal.imaging.datacommons.cancer.gov/explore/?collection_id=cbis_ddsm
cbio-msk-ctdna-vte-2024,"MSK ctDNA Sequencing Cohort (MSK, Nature Medicine 2024)",msk_ctdna_vte_2024,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Mixed Cancer Types,other,,pan_cancer,copy_number; structural_variant; targeted_dna,5567,5567,open,,,False,,34,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=msk_ctdna_vte_2024
